Tablica początkowa, Sortowanie Grzebieniowe,  Sortowanie poprzez wybór
czas sortowania: 1.85990334 ms| czas sortowania: 47.4653244 ms
   Element nr 1: 1 | 1
   Element nr 2: 2 | 2
   Element nr 3: 3 | 3
   Element nr 4: 3 | 3
   Element nr 5: 4 | 4
   Element nr 6: 6 | 6
   Element nr 7: 6 | 6
   Element nr 8: 8 | 8
   Element nr 9: 10 | 10
   Element nr 10: 11 | 11
   Element nr 11: 12 | 12
   Element nr 12: 12 | 12
   Element nr 13: 12 | 12
   Element nr 14: 12 | 12
   Element nr 15: 15 | 15
   Element nr 16: 16 | 16
   Element nr 17: 17 | 17
   Element nr 18: 17 | 17
   Element nr 19: 18 | 18
   Element nr 20: 18 | 18
   Element nr 21: 19 | 19
   Element nr 22: 21 | 21
   Element nr 23: 24 | 24
   Element nr 24: 26 | 26
   Element nr 25: 27 | 27
   Element nr 26: 27 | 27
   Element nr 27: 29 | 29
   Element nr 28: 32 | 32
   Element nr 29: 32 | 32
   Element nr 30: 32 | 32
   Element nr 31: 33 | 33
   Element nr 32: 33 | 33
   Element nr 33: 36 | 36
   Element nr 34: 36 | 36
   Element nr 35: 37 | 37
   Element nr 36: 38 | 38
   Element nr 37: 38 | 38
   Element nr 38: 40 | 40
   Element nr 39: 40 | 40
   Element nr 40: 41 | 41
   Element nr 41: 44 | 44
   Element nr 42: 45 | 45
   Element nr 43: 46 | 46
   Element nr 44: 46 | 46
   Element nr 45: 47 | 47
   Element nr 46: 47 | 47
   Element nr 47: 50 | 50
   Element nr 48: 51 | 51
   Element nr 49: 53 | 53
   Element nr 50: 53 | 53
   Element nr 51: 53 | 53
   Element nr 52: 54 | 54
   Element nr 53: 54 | 54
   Element nr 54: 55 | 55
   Element nr 55: 59 | 59
   Element nr 56: 59 | 59
   Element nr 57: 61 | 61
   Element nr 58: 62 | 62
   Element nr 59: 63 | 63
   Element nr 60: 65 | 65
   Element nr 61: 66 | 66
   Element nr 62: 66 | 66
   Element nr 63: 67 | 67
   Element nr 64: 68 | 68
   Element nr 65: 68 | 68
   Element nr 66: 68 | 68
   Element nr 67: 69 | 69
   Element nr 68: 70 | 70
   Element nr 69: 72 | 72
